Date,Open,High,Low,Close,Adj Close,Volume
2023-02-22,null,null,null,null,null,null
2023-02-23,7.620000,7.620000,7.620000,7.620000,6.878363,0
2023-02-24,null,null,null,null,null,null
2023-02-27,7.610000,7.610000,7.610000,7.610000,6.869336,0
2023-02-28,7.540000,7.540000,7.540000,7.540000,6.806148,0
2023-03-01,null,null,null,null,null,null
2023-03-02,7.490000,7.490000,7.490000,7.490000,6.761014,0
2023-03-03,7.550000,7.550000,7.550000,7.550000,6.815176,0
2023-03-06,7.600000,7.600000,7.600000,7.600000,6.860309,0
2023-03-07,7.590000,7.590000,7.590000,7.590000,6.851282,0
2023-03-08,7.530000,7.530000,7.530000,7.530000,6.797122,0
2023-03-09,7.520000,7.520000,7.520000,7.520000,6.788095,0
2023-03-10,7.420000,7.420000,7.420000,7.420000,6.697827,0
2023-03-13,7.380000,7.380000,7.380000,7.380000,6.661722,0
2023-03-14,7.410000,7.410000,7.410000,7.410000,6.688800,0
2023-03-15,7.320000,7.320000,7.320000,7.320000,6.607561,0
2023-03-16,null,null,null,null,null,null
2023-03-17,7.320000,7.320000,7.320000,7.320000,6.607561,0
2023-03-20,7.330000,7.330000,7.330000,7.330000,6.616588,0
2023-03-21,null,null,null,null,null,null
2023-03-22,7.400000,7.400000,7.400000,7.400000,6.679774,0
2023-03-23,7.400000,7.400000,7.400000,7.400000,6.679774,0
2023-03-24,7.320000,7.320000,7.320000,7.320000,6.607561,0
2023-03-27,null,null,null,null,null,null
2023-03-28,7.370000,7.370000,7.370000,7.370000,6.652693,0
2023-03-29,7.420000,7.420000,7.420000,7.420000,6.697827,0
2023-03-30,7.480000,7.480000,7.480000,7.480000,6.751988,0
2023-03-31,7.460000,7.460000,7.460000,7.460000,6.733934,0
2023-04-03,null,null,null,null,null,null
2023-04-04,7.530000,7.530000,7.530000,7.530000,6.797122,0
2023-04-05,7.510000,7.510000,7.510000,7.510000,6.779068,0
2023-04-06,7.500000,7.500000,7.500000,7.500000,6.770041,0
2023-04-10,null,null,null,null,null,null
2023-04-11,null,null,null,null,null,null
2023-04-12,7.570000,7.570000,7.570000,7.570000,6.833230,0
2023-04-13,7.560000,7.560000,7.560000,7.560000,6.824202,0
2023-04-14,7.600000,7.600000,7.600000,7.600000,6.860309,0
2023-04-17,7.590000,7.590000,7.590000,7.590000,6.851282,0
2023-04-18,7.600000,7.600000,7.600000,7.600000,6.860309,0
2023-04-19,7.580000,7.580000,7.580000,7.580000,6.842256,0
2023-04-20,7.570000,7.570000,7.570000,7.570000,6.833230,0
2023-04-21,null,null,null,null,null,null
2023-04-24,7.590000,7.590000,7.590000,7.590000,6.851282,0
2023-04-25,7.570000,7.570000,7.570000,7.570000,6.833230,0
2023-04-26,7.540000,7.540000,7.540000,7.540000,6.806148,0
2023-04-27,7.540000,7.540000,7.540000,7.540000,6.806148,0
2023-04-28,7.530000,7.530000,7.530000,7.530000,6.797122,0
2023-05-01,null,null,null,null,null,null
2023-05-02,7.530000,7.530000,7.530000,7.530000,6.797122,0
2023-05-03,7.520000,7.520000,7.520000,7.520000,6.788095,0
2023-05-04,7.470000,7.470000,7.470000,7.470000,6.742962,0
2023-05-05,7.490000,7.490000,7.490000,7.490000,6.761014,0
2023-05-08,7.520000,7.520000,7.520000,7.520000,6.788095,0
2023-05-09,null,null,null,null,null,null
2023-05-10,7.510000,7.510000,7.510000,7.510000,6.779068,0
2023-05-11,7.490000,7.490000,7.490000,7.490000,6.761014,0
2023-05-12,7.500000,7.500000,7.500000,7.500000,6.770041,0
2023-05-15,7.480000,7.480000,7.480000,7.480000,6.751988,0
2023-05-16,7.480000,7.480000,7.480000,7.480000,6.751988,0
2023-05-17,7.450000,7.450000,7.450000,7.450000,6.724908,0
2023-05-18,null,null,null,null,null,null
2023-05-19,7.510000,7.510000,7.510000,7.510000,6.779068,0
2023-05-22,7.500000,7.500000,7.500000,7.500000,6.770041,0
2023-05-23,7.510000,7.510000,7.510000,7.510000,6.779068,0
2023-05-24,7.440000,7.440000,7.440000,7.440000,6.715881,0
2023-05-25,7.420000,7.420000,7.420000,7.420000,6.697827,0
2023-05-26,7.430000,7.430000,7.430000,7.430000,6.706855,0
2023-05-30,7.460000,7.460000,7.460000,7.460000,6.733934,0
2023-05-31,7.380000,7.380000,7.380000,7.380000,6.661722,0
2023-06-01,7.380000,7.380000,7.380000,7.380000,6.661722,0
2023-06-02,7.460000,7.460000,7.460000,7.460000,6.733934,0
2023-06-05,7.490000,7.490000,7.490000,7.490000,6.761014,0
2023-06-06,7.480000,7.480000,7.480000,7.480000,6.751988,0
2023-06-07,7.520000,7.520000,7.520000,7.520000,6.788095,0
2023-06-08,7.500000,7.500000,7.500000,7.500000,6.770041,0
2023-06-09,7.520000,7.520000,7.520000,7.520000,6.788095,0
2023-06-12,7.530000,7.530000,7.530000,7.530000,6.797122,0
2023-06-13,7.560000,7.560000,7.560000,7.560000,6.824202,0
2023-06-14,7.570000,7.570000,7.570000,7.570000,6.833230,0
2023-06-15,7.580000,7.580000,7.580000,7.580000,6.842256,0
2023-06-16,7.610000,7.610000,7.610000,7.610000,6.869336,0
2023-06-20,7.580000,7.580000,7.580000,7.580000,6.842256,0
2023-06-21,7.560000,7.560000,7.560000,7.560000,6.824202,0
2023-06-22,7.540000,7.540000,7.540000,7.540000,6.806148,0
2023-06-23,null,null,null,null,null,null
2023-06-26,null,null,null,null,null,null
2023-06-27,7.520000,7.520000,7.520000,7.520000,6.788095,0
2023-06-28,7.540000,7.540000,7.540000,7.540000,6.806148,0
2023-06-29,7.550000,7.550000,7.550000,7.550000,6.815176,0
2023-06-30,7.550000,7.550000,7.550000,7.550000,6.815176,0
2023-07-03,7.570000,7.570000,7.570000,7.570000,6.833230,0
2023-07-05,7.560000,7.560000,7.560000,7.560000,6.824202,0
2023-07-06,7.500000,7.500000,7.500000,7.500000,6.770041,0
2023-07-07,7.500000,7.500000,7.500000,7.500000,6.770041,0
2023-07-10,7.520000,7.520000,7.520000,7.520000,6.788095,0
2023-07-11,7.540000,7.540000,7.540000,7.540000,6.806148,0
2023-07-12,7.610000,7.610000,7.610000,7.610000,6.869336,0
2023-07-13,null,null,null,null,null,null
2023-07-14,7.660000,7.660000,7.660000,7.660000,6.914469,0
2023-07-17,null,null,null,null,null,null
2023-07-18,7.660000,7.660000,7.660000,7.660000,6.914469,0
2023-07-19,7.700000,7.700000,7.700000,7.700000,6.950576,0
2023-07-20,7.690000,7.690000,7.690000,7.690000,6.941549,0
2023-07-21,7.690000,7.690000,7.690000,7.690000,6.941549,0
2023-07-24,7.700000,7.700000,7.700000,7.700000,6.950576,0
2023-07-25,7.710000,7.710000,7.710000,7.710000,6.959602,0
2023-07-26,7.700000,7.700000,7.700000,7.700000,6.950576,0
2023-07-27,7.740000,7.740000,7.740000,7.740000,6.986682,0
2023-07-28,7.710000,7.710000,7.710000,7.710000,6.959602,0
2023-07-31,7.680000,7.680000,7.680000,7.680000,6.932523,0
2023-08-01,7.670000,7.670000,7.670000,7.670000,6.923496,0
2023-08-02,null,null,null,null,null,null
2023-08-03,7.570000,7.570000,7.570000,7.570000,6.833230,0
2023-08-04,7.600000,7.600000,7.600000,7.600000,6.860309,0
